"G1"	"09:00"	"北京南"	"4小时28分 "	"13:28 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G15"	"18:00 "	"北京南"	"4小时43分 "	"22:43 "	"上海 		"	"二等座  "	"￥ 558.0 "	"一等座  "	"￥ 939.0 "	"商务座  "	"￥ 1762.5"
"G151"	"16:45 "	"北京南"	"6小时17分 "	"23:02 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G153"	"17:16 "	"北京南"	"5小时55分 "	"23:11 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G155"	"15:45 "	"北京南"	"5小时56分 "	"21:41"	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G157"	"17:36 "	"北京南"	"6小时4分  "	"23:40 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G169"	"16:40 "	"北京南"	"5小时55分 "	"22:35 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G17"	"19:00 "	"北京南"	"4小时18分 "	"23:18 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G21"	"19:08 "	"北京南"	"4小时28分 "	"23:36 "	"上海 		"	"二等座  "	"￥ 558.0 "	"一等座  "	"￥ 939.0 "	"商务座  "	"￥ 1762.5"
"G3"	"14:00 "	"北京南"	"4小时28分 "	"18:28 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G41"	"09:15"	"北京南"	"5小时34分 "	"14:49 "	"(过)上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G411"	"11:20"	"北京南"	"6小时5分 	"	"17:25 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G43"	"14:05 "	"北京南"	"5小时38分 "	"19:43 "	"(过)上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G5"	"07:00"	"北京南"	"4小时40分 "	"1:40 "	"上海			"	"二等座  "	"￥ 558.0 "	"一等座  "	"￥ 939.0 "	"商务座  "	"￥ 1762.5"
"G7"	"10:00"	"北京南"	"4小时28分 "	"14:28 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G9"	"12:00"	"北京南"	"4小时36分 "	"16:36 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
